file,before,after
public/diagrams/about/hero-capability.svg,"<desc id=""hDesc"">An illustrated RFID smart card showing its embedded antenna coil and chip with NFC signal waves, beside credentials: factory-direct since 2008, ISO 9001 / RoHS / REACH / CE, and six product families in-house.</desc>","<desc id=""hDesc"">An illustrated RFID smart card showing its embedded antenna coil and chip with NFC signal waves, beside credentials: manufacturing partner since 2008, ISO 9001 / 14001 / 45001, and six product families to our specification.</desc>"
public/diagrams/about/hero-capability.svg,"<text x=""848"" y=""255"" font-size=""23"" font-weight=""700"" fill=""#291c0e"">Factory-direct since 2008</text>","<text x=""848"" y=""255"" font-size=""23"" font-weight=""700"" fill=""#291c0e"">Manufacturing partner since 2008</text>"
public/diagrams/about/hero-capability.svg,"<text x=""150"" y=""600"" font-size=""22"" font-weight=""600"" fill=""#6d5a3a"">Shenzhen factory floor — wet-inlay, lamination, encoding &amp; 100% read-test under one roof</text>","<text x=""150"" y=""600"" font-size=""22"" font-weight=""600"" fill=""#6d5a3a"">Shenzhen partner lines — wet-inlay, lamination, encoding to our spec &amp; 100% read-test by our QC</text>"
public/diagrams/about/leadership-banner.svg,"<title id=""lbTitle"">Proud Tek leadership — founder-led, engineering-first</title>","<title id=""lbTitle"">Proud Tek team — three functions, engineering-first</title>"
public/diagrams/about/leadership-banner.svg,"<desc id=""lbDesc"">Organisation model: founder and engineering lead Peter Zhang over four functional areas — production engineering, independent quality, account engineering and supply chain — and one account engineer who owns each buyer program end to end, from RFQ to reorder.</desc>","<desc id=""lbDesc"">Organisation model: Shenzhen Proud Tek Co., Ltd (specification, chip sourcing and QC owner; production on contracted partner lines) over four functional areas — RF / production engineering, independent quality control, sales / account engineering and supply chain — and one account engineer who owns each buyer program end to end, from RFQ to reorder.</desc>"
public/diagrams/about/leadership-banner.svg,"<text x=""600"" y=""70"" text-anchor=""middle"" font-size=""20"" font-weight=""700"" letter-spacing=""2.5"" fill=""#6d5a3a"">FOUNDER-LED · ENGINEERING-FIRST · SINCE 2008</text>","<text x=""600"" y=""70"" text-anchor=""middle"" font-size=""20"" font-weight=""700"" letter-spacing=""2.5"" fill=""#6d5a3a"">ENGINEERING-FIRST · FUNCTIONS, NOT NAMES · SINCE 2008</text>"
public/diagrams/about/leadership-banner.svg,"<text x=""600"" y=""130"" text-anchor=""middle"" font-size=""24"" font-weight=""800"" fill=""#d4a755"">Peter Zhang</text>","<text x=""600"" y=""130"" text-anchor=""middle"" font-size=""24"" font-weight=""800"" fill=""#d4a755"">Shenzhen Proud Tek Co., Ltd</text>"
public/diagrams/about/leadership-banner.svg,"<text x=""600"" y=""156"" text-anchor=""middle"" font-size=""16"" fill=""#e8ddc7"">Founder &amp; Engineering Lead</text>","<text x=""600"" y=""156"" text-anchor=""middle"" font-size=""16"" fill=""#e8ddc7"">Specification · chip sourcing · QC sign-off</text>"
public/diagrams/about/leadership-banner.svg,"<text x=""185"" y=""292"" text-anchor=""middle"" font-size=""19"" font-weight=""700"" fill=""#291c0e"">Production eng.</text>","<text x=""185"" y=""292"" text-anchor=""middle"" font-size=""19"" font-weight=""700"" fill=""#291c0e"">RF / production eng.</text>"
public/diagrams/about/leadership-banner.svg,"<text x=""185"" y=""318"" text-anchor=""middle"" font-size=""14"" fill=""#6d5a3a"">owns the floor, pilot→reorder</text>","<text x=""185"" y=""318"" text-anchor=""middle"" font-size=""14"" fill=""#6d5a3a"">spec &amp; first article, pilot→reorder</text>"
public/diagrams/about/leadership-banner.svg,"<text x=""739"" y=""292"" text-anchor=""middle"" font-size=""19"" font-weight=""700"" fill=""#291c0e"">Account eng.</text>","<text x=""739"" y=""292"" text-anchor=""middle"" font-size=""19"" font-weight=""700"" fill=""#291c0e"">Sales / account eng.</text>"
public/diagrams/about/production-process.svg,"<title id=""ppTitle"">Proud Tek in-house production and QC steps</title>","<title id=""ppTitle"">Proud Tek production and QC steps on partner lines</title>"
public/diagrams/about/production-process.svg,"<desc id=""ppDesc"">Six in-house steps, left to right: inlay bonding, lamination, encoding, one hundred percent read-test QC, laser numbering, and pack and dispatch.</desc>","<desc id=""ppDesc"">Six steps, run on contracted partner lines to Proud Tek's specification, left to right: inlay bonding, lamination, encoding, one hundred percent read-test QC, laser numbering, and pack and dispatch.</desc>"
public/diagrams/about/production-process.svg,"<text x=""72"" y=""120"" font-size=""22"" font-weight=""700"" letter-spacing=""1.5"" fill=""#6d5a3a"">IN-HOUSE — NOT OUTSOURCED</text>","<text x=""72"" y=""120"" font-size=""22"" font-weight=""700"" letter-spacing=""1.5"" fill=""#6d5a3a"">ONE SPECIFICATION — ONE QC SIGN-OFF</text>"
public/diagrams/about/supply-chain.svg,"<title id=""scTitle"">Factory-direct versus trading-company sourcing</title>","<title id=""scTitle"">Manufacturer-direct versus trading-company sourcing</title>"
public/diagrams/about/supply-chain.svg,"<desc id=""scDesc"">The trading-company route adds one or two middlemen and 15 to 30 percent markup with no engineering escalation; sourcing directly from the Proud Tek factory keeps the margin and routes engineering to the team that built the SKU.</desc>","<desc id=""scDesc"">The trading-company route adds one or two middlemen and 15 to 30 percent markup with no engineering escalation; sourcing directly from Proud Tek keeps the margin and routes engineering to the team that specified and signed off the SKU.</desc>"
public/diagrams/about/supply-chain.svg,"<text x=""187"" y=""196"" text-anchor=""middle"" font-size=""26"" font-weight=""600"" fill=""#4a5568"">Factory</text>","<text x=""187"" y=""196"" text-anchor=""middle"" font-size=""26"" font-weight=""600"" fill=""#4a5568"">Manufacturer</text>"
public/diagrams/about/supply-chain.svg,"<text x=""72"" y=""410"" font-size=""22"" font-weight=""700"" letter-spacing=""1.5"" fill=""#6d5a3a"">PROUD TEK — FACTORY DIRECT</text>","<text x=""72"" y=""410"" font-size=""22"" font-weight=""700"" letter-spacing=""1.5"" fill=""#6d5a3a"">PROUD TEK — MANUFACTURER DIRECT</text>"
public/diagrams/about/supply-chain.svg,"<text x=""262"" y=""486"" text-anchor=""middle"" font-size=""26"" font-weight=""700"" fill=""#f4efe7"">Proud Tek factory</text>","<text x=""262"" y=""486"" text-anchor=""middle"" font-size=""26"" font-weight=""700"" fill=""#f4efe7"">Proud Tek</text>"
public/diagrams/about/supply-chain.svg,"<text x=""639"" y=""480"" text-anchor=""middle"" font-size=""18"" font-weight=""600"" fill=""#3a4a52"">factory price direct</text>","<text x=""639"" y=""480"" text-anchor=""middle"" font-size=""18"" font-weight=""600"" fill=""#3a4a52"">manufacturer price direct</text>"
public/diagrams/blog/cost-per-rfid-tag-2026-hero.svg,"<desc id=""d"">Hero banner for the 2026 RFID tag pricing guide. On the left, an apparel-style hangtag is opened up to show what you are actually buying: a spiral antenna coil, a small gold chip and the substrate, with signal arcs leaving the tag and a dark price coin reading $0.03 and up per tag at volume. On the right, an abridged spectrum panel lists five product families with their 2026 price bands: UHF paper-face labels at $0.03-0.08, NTAG213 NFC stickers at $0.05-0.12, MIFARE Classic 1K PVC cards at $0.30-0.80, silicone wristbands at $0.40-1.50, and rugged industrial or on-metal tags at $0.50-5.00 and above. A caption notes factory-direct pricing typically runs 20-35% below trading-compan","<desc id=""d"">Hero banner for the 2026 RFID tag pricing guide. On the left, an apparel-style hangtag is opened up to show what you are actually buying: a spiral antenna coil, a small gold chip and the substrate, with signal arcs leaving the tag and a dark price coin reading $0.03 and up per tag at volume. On the right, an abridged spectrum panel lists five product families with their 2026 price bands: UHF paper-face labels at $0.03-0.08, NTAG213 NFC stickers at $0.05-0.12, MIFARE Classic 1K PVC cards at $0.30-0.80, silicone wristbands at $0.40-1.50, and rugged industrial or on-metal tags at $0.50-5.00 and above. A caption notes manufacturer-direct pricing typically runs 20-35% below trading-c"
public/diagrams/blog/cost-per-rfid-tag-2026-hero.svg,"<text x=""600"" y=""608"" text-anchor=""middle"" font-size=""13.5"" fill=""#4f4f4f"">Factory-direct from Shenzhen typically runs 20–35% below trading-company quotes — the middleman is a deletable line item.</text>","<text x=""600"" y=""608"" text-anchor=""middle"" font-size=""13.5"" fill=""#4f4f4f"">Manufacturer-direct from Shenzhen typically runs 20–35% below trading-company quotes — the middleman is a deletable line item.</text>"
public/diagrams/lp/nfc-tag-manufacturer-china-chip-menu.svg,"<title id=""t"">Proud Tek NFC menu: four 13.56 MHz families bonded and encoded on one in-house Shenzhen line</title>","<title id=""t"">Proud Tek NFC menu: four 13.56 MHz families bonded and encoded to one Proud Tek specification on partner lines in Shenzhen</title>"
public/diagrams/lp/nfc-tag-manufacturer-china-chip-menu.svg,"<desc id=""d"">A left-to-right map. On the left, a card labelled YOUR NFC SPEC (surface, data, volume, MOQ). In the centre, four NFC product-family lanes we manufacture: NFC stickers and inlays (NTAG 213, NTAG 215, NTAG 216 at 13.56 MHz to ISO/IEC 14443); secure and tamper-evident (NTAG 424 DNA with AES-128 SUN at 13.56 MHz to ISO/IEC 14443); ticketing and transit (MIFARE Ultralight EV1 at 13.56 MHz, single-use); and HF long-range labels (ICODE SLIX2 at 13.56 MHz to ISO/IEC 15693). All four converge on the right into MADE IN-HOUSE: bonded and converted, encoded to spec, 100% read-tested, with documents and certificates.</desc>","<desc id=""d"">A left-to-right map. On the left, a card labelled YOUR NFC SPEC (surface, data, volume, MOQ). In the centre, four NFC product-family lanes we manufacture: NFC stickers and inlays (NTAG 213, NTAG 215, NTAG 216 at 13.56 MHz to ISO/IEC 14443); secure and tamper-evident (NTAG 424 DNA with AES-128 SUN at 13.56 MHz to ISO/IEC 14443); ticketing and transit (MIFARE Ultralight EV1 at 13.56 MHz, single-use); and HF long-range labels (ICODE SLIX2 at 13.56 MHz to ISO/IEC 15693). All four converge on the right into MADE TO OUR SPEC: bonded and converted on partner lines, encoded to spec, 100% read-tested by our QC, with documents and certificates.</desc>"
public/diagrams/lp/nfc-tag-manufacturer-china-chip-menu.svg,"<text x=""600"" y=""99"" text-anchor=""middle"" font-size=""30"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">Four NFC families, one in-house line</text>","<text x=""600"" y=""99"" text-anchor=""middle"" font-size=""30"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">Four NFC families, one specification</text>"
public/diagrams/lp/nfc-tag-manufacturer-china-chip-menu.svg,"<text x=""1053"" y=""338"" text-anchor=""middle"" font-size=""17"" font-weight=""800"" letter-spacing=""0.4"" fill=""#6d5a3a"">MADE IN-HOUSE</text>","<text x=""1053"" y=""338"" text-anchor=""middle"" font-size=""17"" font-weight=""800"" letter-spacing=""0.4"" fill=""#6d5a3a"">MADE TO OUR SPEC</text>"
public/diagrams/lp/nfc-tag-manufacturer-china-process-flow.svg,"<title id=""t"">How Proud Tek manufactures an NFC tag: five in-house stages from bare chip to encoded, read-tested unit</title>","<title id=""t"">How a Proud Tek NFC tag is made: five stages from bare chip to encoded, read-tested unit, run on partner lines to our specification</title>"
public/diagrams/lp/nfc-tag-manufacturer-china-process-flow.svg,"<desc id=""d"">Five stages left to right, none subcontracted. Stage 1, antenna: an aluminium or copper antenna etched or printed on a PET or paper web. Stage 2, chip bonding: an NXP wafer flip-chip bonded to the antenna to form the inlay. Stage 3, converting: wet and dry inlays laminated and die-cut to size on rolls. Stage 4, printing and finishing: full-colour artwork printed and laminated, epoxy and anti-metal tags molded into housings. Stage 5, encoding and QC: NDEF or NTAG 424 DNA SUN records written inline, then every unit 100% read-tested. A base arrow underneath runs from a bare wafer, in-house, to a shipped SKU under one QC sign-off.</desc>","<desc id=""d"">Five stages left to right, all to one Proud Tek specification with one QC sign-off. Stage 1, antenna: an aluminium or copper antenna etched or printed on a PET or paper web. Stage 2, chip bonding: an NXP wafer flip-chip bonded to the antenna to form the inlay. Stage 3, converting: wet and dry inlays laminated and die-cut to size on rolls. Stage 4, printing and finishing: full-colour artwork printed and laminated, epoxy and anti-metal tags molded into housings. Stage 5, encoding and QC: NDEF or NTAG 424 DNA SUN records written inline, then every unit 100% read-tested. A base arrow underneath runs from a bare wafer, in-house, to a shipped SKU under one QC sign-off.</desc>"
public/diagrams/lp/nfc-tag-manufacturer-china-process-flow.svg,"<text x=""600"" y=""126"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">Five stages under one roof — no converting or encoding subcontracted.</text>","<text x=""600"" y=""126"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">Five stages, one specification, one QC sign-off — on contracted partner lines.</text>"
public/diagrams/lp/nfc-tag-manufacturer-china-process-flow.svg,"<text x=""100"" y=""548"" font-size=""13"" font-weight=""700"" fill=""#5c5c5c"">Bare wafer · in-house</text>","<text x=""100"" y=""548"" font-size=""13"" font-weight=""700"" fill=""#5c5c5c"">Bare wafer · to our spec</text>"
public/diagrams/lp/rfid-card-manufacturer-china-process-flow.svg,"<title id=""t"">Proud Tek RFID card production line: five in-house stages from inlay to encoded card</title>","<title id=""t"">Proud Tek RFID card production: five stages from inlay to encoded card, run on partner lines to our specification</title>"
public/diagrams/lp/rfid-card-manufacturer-china-process-flow.svg,"<text x=""600"" y=""98"" text-anchor=""middle"" font-size=""30"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">Five in-house production stages</text>","<text x=""600"" y=""98"" text-anchor=""middle"" font-size=""30"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">Five production stages, one specification</text>"
public/diagrams/lp/rfid-factory-direct-china-sample-to-po.svg,"<title id=""t"">Proud Tek factory-direct sourcing flow: from a free sample pack to a standing production order</title>","<title id=""t"">Proud Tek manufacturer-direct sourcing flow: from a free sample pack to a standing production order</title>"
public/diagrams/lp/rfid-factory-direct-china-sample-to-po.svg,"<desc id=""d"">Five steps left to right. Step 1, free sample pack: 8-12 SKUs across LF, HF and UHF shipped by DHL. Step 2, factory-direct quote: chip, MOQ and price itemised in writing. Step 3, proof and first article: a digital proof signed off and tested on your reader. Step 4, production and QC: about 5-7 business days with 100% read-verification and a photographic QC report. Step 5, export and delivery: DDP, FOB or CIF by DHL, FedEx or sea with 3-5 day call-offs. A base arrow underneath shows buyer commitment rising only as risk falls; nothing ships without a QC report you can check.</desc>","<desc id=""d"">Five steps left to right. Step 1, free sample pack: 2-3 SKUs (5-20 pieces) across LF, HF and UHF shipped by DHL or FedEx. Step 2, manufacturer-direct quote: chip, MOQ and price itemised in writing. Step 3, proof and first article: a digital proof signed off and tested on your reader. Step 4, production and QC: about 5-7 business days with 100% read-verification and a photographic QC report. Step 5, export and delivery: DDP, FOB or CIF by DHL, FedEx or sea with 3-5 day call-offs. A base arrow underneath shows buyer commitment rising only as risk falls; nothing ships without a QC report you can check.</desc>"
public/diagrams/lp/rfid-factory-direct-china-sample-to-po.svg,"<text x=""143"" y=""324"" text-anchor=""middle"" font-size=""13"" fill=""#5c5c5c"">8-12 SKUs by DHL</text>","<text x=""143"" y=""324"" text-anchor=""middle"" font-size=""13"" fill=""#5c5c5c"">2-3 SKUs by DHL / FedEx</text>"
public/diagrams/lp/rfid-factory-direct-china-sample-to-po.svg,"<text x=""369"" y=""266"" text-anchor=""middle"" font-size=""16"" font-weight=""700"" fill=""#291c0e"">Factory-direct</text>","<text x=""369"" y=""266"" text-anchor=""middle"" font-size=""16"" font-weight=""700"" fill=""#291c0e"">Manufacturer-direct</text>"
public/diagrams/lp/rfid-factory-direct-china-sample-to-po.svg,"<text x=""369"" y=""426"" text-anchor=""middle"" font-size=""13"" font-weight=""700"" fill=""#4a5568"">factory-gate price</text>","<text x=""369"" y=""426"" text-anchor=""middle"" font-size=""13"" font-weight=""700"" fill=""#4a5568"">manufacturer-direct price</text>"
