URL,Status,Indexability,Google coverage (URL Inspection 2026-09-02),Last crawl (Google),Canonical,Page type,Primary entity (H1),Primary intent,Main words,SVG words,Collapsed <details> words,Internal inlinks (all),Internal inlinks (in-content),Outlinks internal,Outlinks external,Schema,Last modified (sitemap),dateModified (JSON-LD),Duplicate cluster,Conversion action,Title len,Desc len,og:image,Risk,Recommendation
/,200,indexable,Submitted and indexed,2026-09-02,https://proudtek.com/,home,Custom RFID & NFC Manufacturer in China,navigational,1446,0,0,543,1,26,0,Article|FAQPage|Organization|VideoObject|WebPage|WebSite,2026-03-16,2026-06-10T18:00:00Z,,"/contact/,/rfq/,/sample-pack/",62,149,.jpg,competing CTAs; title>60,IMPROVE
/2024/12/22/rfid-laundry-tags/,built but edge-301→/solutions/rfid-laundry-tags/,noindex (canonical→/solutions/rfid-laundry-tags/),n/a (noindex),,https://proudtek.com/solutions/rfid-laundry-tags/,legacy-post,This page has moved,legacy,81,0,0,0,0,2,0,,,,T-dup,/contact/laundry-rfid/,50,143,.png,,KEEP (legacy: noindex+canonical+edge 301; file is dead weight)
/2024/12/24/rfid-event-wristband/,built but edge-301→/solutions/rfid-event-access-control/,noindex (canonical→/solutions/rfid-event-access-control/),n/a (noindex),,https://proudtek.com/solutions/rfid-event-access-control/,legacy-post,This page has moved,legacy,79,0,0,0,0,2,0,,,,,/contact/event-rfid/,50,130,.png,,KEEP (legacy: noindex+canonical+edge 301; file is dead weight)
/2024/12/24/rfid-wooden-card/,built but edge-301→/compare/metal-vs-wood-vs-pvc-nfc-business-cards/,noindex (canonical→/compare/metal-vs-wood-vs-pvc-nfc-business-cards/),n/a (noindex),,https://proudtek.com/compare/metal-vs-wood-vs-pvc-nfc-business-cards/,legacy-post,This page has moved,legacy,81,0,0,0,0,2,0,,,,,/contact/nfc-branding-cards/,58,147,.png,,KEEP (legacy: noindex+canonical+edge 301; file is dead weight)
/2024/12/25/rfid-hotel-key-card/,built but edge-301→/solutions/hotel-key-cards/,noindex (canonical→/solutions/hotel-key-cards/),n/a (noindex),,https://proudtek.com/solutions/hotel-key-cards/,legacy-post,This page has moved,legacy,80,0,0,0,0,2,0,,,,T-dup,/contact/hotel-rfid/,53,137,.png,,KEEP (legacy: noindex+canonical+edge 301; file is dead weight)
/2025/11/04/mifare_plus_card/,built but edge-301→/compare/mifare-plus-ev2-vs-desfire-ev3/,noindex (canonical→/compare/mifare-plus-ev2-vs-desfire-ev3/),n/a (noindex),,https://proudtek.com/compare/mifare-plus-ev2-vs-desfire-ev3/,legacy-post,This page has moved,legacy,83,0,0,0,0,2,0,,,,,/contact/custom-rfid-cards/,49,146,.png,,KEEP (legacy: noindex+canonical+edge 301; file is dead weight)
/404.html,200,noindex (canonical→/404/),n/a (noindex),,https://proudtek.com/404/,error,Page not found,n/a,48,0,0,0,0,11,0,,,,,/contact/,26,124,.jpg,,KEEP (intentional noindex)
/about/,200,indexable,Crawled - currently not indexed,2026-05-08,https://proudtek.com/about/,about,About Proud Tek,trust,2524,0,481,536,5,13,5,AboutPage|Article|BreadcrumbList|FAQPage|Organization|WebSite,2026-07-11,2026-07-11T18:00:00Z,,"/contact/,/rfq/",15,132,.jpg,,KEEP
/about/certifications/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/certifications/,about,Proud Tek Certifications,trust,2217,0,456,539,16,10,7,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-08-11,2026-08-11T00:00:00Z,,"/contact/,/rfq/",101,109,.svg,title>60; og:image SVG,IMPROVE
/about/corrections/,200,indexable,Discovered - currently not indexed,,https://proudtek.com/about/corrections/,about,Corrections Log,trust,1098,0,206,536,7,4,0,Article|BreadcrumbList|FAQPage|Organization|WebPage|WebSite,2026-04-17,2026-04-17,,,27,89,.webp,no CTA in content,IMPROVE
