source,source_decoded,old_destination,new_destination,reason
/product/legic-card/,/product/legic-card/,/products/rfid-cards/,/products/rfid-cards/legic-card/,LEGIC product page exists (DE/ES legacy rules already point there)
/product/mifare-stickers/,/product/mifare-stickers/,/products/rfid-labels/ntag213-nfc-sticker/,/products/rfid-labels/,chip mismatch: MIFARE sticker != NTAG213 SKU; ES/RU legacy rules already use the category
/ja/%E8%A3%BD%E5%93%81/nfc-reader-writer-with-free-sdks/,/ja/製品/nfc-reader-writer-with-free-sdks/,/products/rfid-readers/,/products/rfid-readers/desktop-nfc-reader-encoder/,same product as EN legacy rule (ranked #1 JP)
/product/mifare-desfire-cards/,/product/mifare-desfire-cards/,/products/rfid-cards/mifare-desfire-ev3-cards/,/products/rfid-cards/mifare-desfire-ev3-card/,collapse chain via typo '…ev3-cards/'
/product/dual-interface-card/,/product/dual-interface-card/,/products/rfid-cards/rfid-dual-frequency-card/,/products/rfid-cards/dual-frequency-rfid-card/,collapse chain via typo '…rfid-dual-frequency-card/'
/product/combi-card/,/product/combi-card/,/products/rfid-cards/rfid-dual-frequency-card/,/products/rfid-cards/dual-frequency-rfid-card/,collapse chain via typo '…rfid-dual-frequency-card/'
/zh/blog/,/zh/blog/,/,/blog/,language blog index -> blog hub
/tr/blog/,/tr/blog/,/,/blog/,language blog index -> blog hub
/ja/blog/,/ja/blog/,/,/blog/,language blog index -> blog hub
/es/blog/,/es/blog/,/,/blog/,language blog index -> blog hub
/de/blog/,/de/blog/,/,/blog/,language blog index -> blog hub
/shop/,/shop/,/,/products/all/,WooCommerce shop index -> catalog (same as /en/rfid/ and /product-category/*)
/shop/page/2/,/shop/page/2/,/,/products/all/,WooCommerce shop index -> catalog
/de/shop/,/de/shop/,/,/products/all/,shop index -> catalog
/da/shop/,/da/shop/,/,/products/all/,shop index -> catalog
/ar/shop/,/ar/shop/,/,/products/all/,shop index -> catalog
/tr/sss/,/tr/sss/,/,/faq/,'SSS' = Turkish FAQ -> /faq/
/zh/%E6%8E%A5%E8%A7%A6/,/zh/接触/,/,/contact/,'接触' = contact -> /contact/
/ru/%D1%82%D0%B5%D0%B3-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%B0/%D0%B2%D0%BE%D0%B4%D0%BE%D0%BD%D0%B5%D0%BF%D1%80%D0%BE%D0%BD%D0%B8%D1%86%D0%B0%D0%B5%D0%BC%D1%8B%D0%B9-%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82-rfid/,/ru/тег-продукта/водонепроницаемый-браслет-rfid/,/,/products/rfid-wristbands/,RU product-tag 'waterproof RFID wristband' -> wristband family
/ru/%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82/%D1%81%D0%B8%D0%BB%D0%B8%D0%BA%D0%BE%D0%BD%D0%BE%D0%B2%D1%8B%D0%B5-%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82%D1%8B-rfid/,/ru/продукт/силиконовые-браслеты-rfid/,/,/products/rfid-wristbands/,RU 'silicone RFID wristbands' -> wristband family (two silicone SKUs exist; category is the honest target)
/ja/%E8%A3%BD%E5%93%81/%E3%83%92%E3%82%BF%E3%82%B02%E3%82%AB%E3%83%BC%E3%83%89/,/ja/製品/ヒタグ2カード/,/,/products/rfid-cards/,JA 'HITAG 2 card' -> card family (same as EN /product/hitag-2-card/; HITAG status on hold)
/ja/%E8%A3%BD%E5%93%81/%E3%82%B8%E3%83%A3%E3%83%90%E3%82%AB%E3%83%BC%E3%83%89/,/ja/製品/ジャバカード/,/,/products/rfid-cards/java-card/,JA 'Java card' -> Java Card page (all other languages already do)
/fr/produit/carte-java/,/fr/produit/carte-java/,/,/products/rfid-cards/java-card/,FR 'Java card' -> Java Card page
/he/%D7%9E%D7%95%D6%BC%D7%A6%D6%B8%D7%A8/%D7%9B%D7%A8%D7%98%D7%99%D7%A1%D7%99-nfc/,/he/מוּצָר/כרטיסי-nfc/,/,/products/rfid-cards/,HE 'NFC cards' -> card family
/he/%D7%9E%D7%95%D6%BC%D7%A6%D6%B8%D7%A8/%D7%9B%D7%A8%D7%98%D7%99%D7%A1%D7%99-%D7%9E%D7%99%D7%A4%D7%90%D7%A8-%D7%93%D7%A1%D7%A4%D7%99%D7%99%D7%A8/,/he/מוּצָר/כרטיסי-מיפאר-דספייר/,/,/products/rfid-cards/mifare-desfire-ev3-card/,HE 'MIFARE DESFire cards' -> DESFire page (same as EN rule)
/fa/%D9%85%D8%AD%D8%B5%D9%88%D9%84/%DA%A9%D8%A7%D8%B1%D8%AA-%D8%B5%D8%AF%D9%81%DB%8C/,/fa/محصول/کارت-صدفی/,/,/products/rfid-cards/,FA 'clamshell card' -> card family (no clamshell SKU page)
