title_length,route,title
75,/products/rfid-tags/rfid-blood-bag-tag/,RFID Blood Bag Tags — Blood Guard Tracking & Transfusion Safety | Proud Tek
73,/products/rfid-cards/fido2-card/,FIDO2 Cards — Phishing-Resistant Login + DESFire Badge In One | Proud Tek
69,/products/rfid-cards/java-card/,Java Card (JCOP) Smart Cards — Multi-Application Platform | Proud Tek
68,/products/rfid-cards/legic-card/,LEGIC Cards — Cards & Keyfobs For LEGIC Access Platforms | Proud Tek
64,/products/rfid-wristbands/nfc-fitness-wristband/,NFC Fitness Wristbands — Tap Check-In & Cashless Gym | Proud Tek
64,/products/rfid-wristbands/elastic-rfid-wristband/,Elastic RFID Wristbands — Stretch-Fit No-Clasp Bands | Proud Tek
64,/products/rfid-wristbands/cashless-payment-rfid-wristband/,Cashless-Payment RFID Wristbands — DESFire EV3 Bands | Proud Tek
64,/products/rfid-tags/rfid-waste-bin-tag/,RFID Waste Bin Tags — PAYT Billing & Route Analytics | Proud Tek
64,/products/rfid-tags/rfid-surgical-instrument-tag/,RFID Surgical Instrument Tags — Automated SPD Counts | Proud Tek
64,/products/rfid-tags/rfid-returnable-container-tag/,RFID Returnable Container Tags — Cut RTI Loss 50-80% | Proud Tek
64,/products/rfid-tags/rfid-pallet-tag/,RFID Pallet Tags — Dock-Door ID & Warehouse Tracking | Proud Tek
64,/products/rfid-tags/rfid-high-temperature-ceramic-tag/,RFID High-Temperature Ceramic Tags — Ovens To 800 °C | Proud Tek
64,/products/rfid-tags/rfid-eyelet-tag/,RFID Eyelet Tag — Grommet-Mount For Canvas & Leather | Proud Tek
64,/products/rfid-tags/rfid-ear-tag-livestock/,RFID Ear Tag Livestock — USDA & EU Herd Traceability | Proud Tek
64,/products/rfid-tags/rfid-ammo-can-tag/,RFID Ammo Can Tag — Military Ammunition Container ID | Proud Tek
64,/products/rfid-tags/rfid-aircraft-part-tag/,RFID Aircraft Part Tags — MRO Lifecycle Traceability | Proud Tek
64,/products/rfid-tags/anti-metal-uhf-it-asset-tag/,Anti-Metal UHF IT Asset Tag — Ferrite-Backed Rack ID | Proud Tek
64,/products/rfid-labels/nfc-wet-inlay/,NFC Wet Inlays — PSA Roll Stock For Label Converters | Proud Tek
64,/products/rfid-labels/nfc-anti-metal-sticker/,NFC Anti-Metal Sticker — Ferrite-Backed On-Metal Tag | Proud Tek
64,/products/rfid-labels/long-range-uhf-windshield-sticker/,Long-Range UHF RFID Windshield Sticker — Toll & Yard | Proud Tek
64,/products/rfid-labels/impinj-m700-uhf-inlay/,"Impinj M700-Series UHF Inlays — RAIN RFID, -22.7 dBm | Proud Tek"
64,/products/rfid-keyfobs/rfid-leather-keyfob/,RFID Leather Keyfob — Premium Hospitality Credential | Proud Tek
64,/products/rfid-keyfobs/rfid-coin-tag/,"RFID Coin Tag / Token — Laundry, Casino, Locker Disc | Proud Tek"
63,/products/rfid-wristbands/silicone-wristband-mifare-classic/,Silicone RFID Wristbands — MIFARE Classic & DESFire | Proud Tek
63,/products/rfid-wristbands/rfid-waterpark-wristband/,Water Park RFID Wristbands — IP68 Fully-Submersible | Proud Tek
63,/products/rfid-wristbands/rfid-prison-wristband/,RFID Inmate Wristbands — Tamper-Evident Corrections | Proud Tek
63,/products/rfid-wristbands/rfid-child-wristband/,RFID Child Safety Wristbands — Parent-Child Pairing | Proud Tek
63,/products/rfid-wristbands/hospital-patient-id-wristband/,RFID Hospital Patient-ID Wristbands — Bedside Scans | Proud Tek
63,/products/rfid-tags/waterproof-uhf-rfid-outdoor-tag/,Waterproof UHF RFID Outdoor Tag — IP68/IP69K Rugged | Proud Tek
63,/products/rfid-tags/rfid-tool-tracking-tag/,RFID Tool Tracking Tag — Calibration & Metrology ID | Proud Tek
63,/products/rfid-tags/rfid-race-timing-tag/,RFID Race Timing Tags — Sub-Second Sports Precision | Proud Tek
63,/products/rfid-tags/rfid-magnet-mount-tag/,RFID Magnet Mount Tag — Repositionable On-Metal UHF | Proud Tek
63,/products/rfid-tags/rfid-livestock-leg-band/,RFID Livestock Leg Band — Poultry & Dairy Animal ID | Proud Tek
63,/products/rfid-tags/rfid-library-book-tag/,"RFID Library Tags — Checkout, Inventory, Anti-Theft | Proud Tek"
63,/products/rfid-tags/rfid-keg-tag/,"RFID Keg Tags — Stop Keg Loss, Real-Time Fleet View | Proud Tek"
63,/products/rfid-tags/rfid-jewelry-tag/,RFID Jewelry Tags — Item-Level High-Value Inventory | Proud Tek
63,/products/rfid-tags/rfid-glass-capsule-tag/,RFID Glass Capsule Tags — PET Microchip & Animal ID | Proud Tek
63,/products/rfid-tags/rfid-fire-extinguisher-tag/,RFID Fire Extinguisher Tag — Inspection & AHJ Audit | Proud Tek
63,/products/rfid-tags/rfid-anti-metal-tag/,RFID Anti-Metal Tags — UHF Tracking On Steel Assets | Proud Tek
63,/products/rfid-labels/rfid-medication-vial-label/,RFID Medication Vial & Syringe Labels — ADC Restock | Proud Tek
63,/products/rfid-labels/rfid-dry-inlay/,RFID Dry Inlay (UHF) — No-Adhesive Lamination Stock | Proud Tek
63,/products/rfid-labels/nfc-table-stand/,NFC Table Stands & Counter Displays — Tap-to-Review | Proud Tek
