old_path_proudrfid,redirect_to_proudtek,tier
/mifare-desfire-ev1-rfid-white-card,/products/rfid-cards/mifare-desfire-ev3-card,family-hub
/rfid-laundry-tags-for-linen-tracking-product,/products/rfid-tags,family-hub
/uhf-handheld-reader-pr9171a,/products/rfid-readers,family-hub
/acr122u-mifare-usb-rfid-nfc-reader,/products/rfid-readers,family-hub
/epoxy-tag-rfid-keychain-keyfob-for-security-access,/products/rfid-keyfobs,family-hub
/disposable-rfid-vinyl-wristband-for-healthcare-tracking,/products/rfid-wristbands,family-hub
/rfid-nylon-wristband-payment-watch,/products/rfid-wristbands,family-hub
/rfid-disposable-fabric-wristbands-for-events,/products/rfid-wristbands,family-hub
/desfire-4k-ev2-chip-rfid-all-inclusive-resort-wristband,/products/rfid-cards/mifare-desfire-ev3-card,family-hub
/mifare-plus-chip-rfid-durable-wristbands-for-fitness-clubs,/products/rfid-cards/mifare-plus-se-card,family-hub
/rf4-pcb-uhf-rfid-on-metal-tags,/products/rfid-tags,family-hub
/hf-rfid-pps-laundry-button-tag,/products/rfid-tags,family-hub
/uhf-pps-laundry-tag-for-clothes-tracking,/products/rfid-tags,family-hub
/125khz-rfid-access-control-card,/products/rfid-cards,family-hub
/high-security-mifare-desfire-rfid-card-for-access-control,/products/rfid-cards/mifare-desfire-ev3-card,family-hub
/rfid-jewelry-label-tags-for-inventory-management,/products/rfid-labels,family-hub
/rfid-nfc-ntag213-label-tag-sticker-product,/products/rfid-cards/mifare-ultralight-c-card,family-hub
/rfid-tamperproof-label-for-anti-counterfeiting-product,/products/rfid-labels,family-hub
/rfid-windshield-label-for-vehicle-management,/products/rfid-labels,family-hub
/rfid-uhf-on-metal-printable-label-tag-product,/products/rfid-labels,family-hub
/custom-shaped-rfid-wooden-card-for-secure,/products/rfid-cards,family-hub
/eco-friendly-rfid-bamboo-wood-cards-for-access-product,/products/rfid-cards,family-hub
/uhf-high-temperature-reistant-on-metal-tag-product,/products/rfid-tags,family-hub
/em4200-long-range-on-metal-tag-product,/products/rfid-cards/em4100-rfid-card,family-hub
/stretchable-rfid-wristband-for-ticketing-and-access-management-product,/products/rfid-wristbands,family-hub
/hf-rfid-direct-thermal-printable-wristband-for-identification-product,/products/rfid-wristbands,family-hub
/proximity-rfid-tag-leather-keyfob-product,/products/rfid-keyfobs,family-hub
/rfid-custom-cartoon-key-fobs-for-doors-product,/products/rfid-keyfobs,family-hub
/mifare-ultralight-ev1-rfid-card-for-event-identification-product,/products/rfid-cards/mifare-ultralight-c-card,family-hub
/durable-125khz-em4200-rfid-clamshell-cards-product,/products/rfid-cards/em4100-rfid-card,family-hub
/desktop-id-card-reader-usb-rfid-reader-product,/products/rfid-readers,family-hub
/handheld-rfid-reader-animal-chip-scanner-product,/products/rfid-readers,family-hub
/stick-handheld-scanner-rfid-animal-reader-product,/products/rfid-readers,family-hub
/long-range-scanner-rfid-usb-uhf-reader-writer-product,/products/rfid-readers,family-hub
/uhf-rfid-tag-reader-writer-for-parking-management-product,/products/rfid-readers,family-hub
/mifare-1k-vingcard-for-hotel-door-locks-product,/products/rfid-cards,family-hub
/rfid-silicone-laundry-tags-for-workwear-tracking-product,/products/rfid-tags,family-hub
/mifare-1k-rfid-waterproof-silicone-wristband-product,/products/rfid-wristbands,family-hub
/durable-rfid-glassfiber-keyfob-for-heavy-industry-access-product,/products/rfid-keyfobs,family-hub
/rfid-dual-frequency-key-fob-for-gate-entry-product,/products/rfid-keyfobs,family-hub
/uhf-rfid-alien-h9-card-for-efficient-access-management,/products/rfid-tags,family-hub
/pvc-tag-rfid-custom-cartoon-key-fobs-for-doors-product-description-product,/products/rfid-keyfobs,family-hub
/premium-dual-frequency-card-with-hf-and-uhf-chip-solutions-product,/products/rfid-tags,family-hub
/custom-google-review-card-nfc-stand,/products/rfid-cards,family-hub
/rfid-blocking-card-for-anti-theft-card-swipe-product,/products/rfid-cards,family-hub
/recyclable-rfid-anti-tamper-silicone-wristband-product,/products/rfid-wristbands,family-hub
/pvc-rfid-wristbands-for-all-inclusive-hotel,/products/rfid-wristbands,family-hub
/mifare-plus-x-2k-rfid-cards-for-public-transportation-1,/products/rfid-cards/mifare-plus-se-card,family-hub
/mifare-plus-se-1k-bus-fare-collection-cards-product,/products/rfid-cards/mifare-plus-se-card,family-hub
/mifare-plus-s-2k-smart-cards-for-ticketing,/products/rfid-cards/mifare-plus-se-card,family-hub
/mifare-plus-ev2-rfid-cards-for-access-management,/products/rfid-cards/mifare-plus-se-card,family-hub
/uhf-abs-rfid-keyfob-with-ucode-9-technology-product,/products/rfid-keyfobs,family-hub
/125khz-hitag-1-rewritable-rfid-card,/products/rfid-cards,family-hub
/125khz-hitag-2-rfid-access-cards,/products/rfid-cards,family-hub
/mifare-ultralight-c-rfid-cards-for-smart-ticketing,/products/rfid-cards/mifare-ultralight-c-card,family-hub
/rfid-hitag-s256-chip-cards-for-access-system,/products/rfid-cards,family-hub
/mifare-classic-1k-cards-for-campus-cards,/products/rfid-cards,family-hub
