Claim ID,Exact claim (condensed),URL(s),Claim type,Current source,Evidence status,Risk,Recommended treatment,Required owner evidence
K-01,"""Since 2008"" / ""Founded in 2008"" / ""18 years of continuous operation"" (homepage, About, Leadership, llms.txt says 17+)",/ ; /about/ ; /about/leadership/ ; /llms.txt,company identity,none (repeated on 446+ pages via trust strip),"UNVERIFIED — consistent across all 5 owned properties and Made-in-China (2017), but no registration document seen; proudtek.com domain registered 2011; ISO certificates dated 2026",High,REQUEST_FIRST_PARTY_EVIDENCE; unify 17+/18+ to one computed value,Business registration extract showing establishment date
K-02,"""Two self-owned factories"" / ""Two Shenzhen production sites"" / ""Self-owned RFID & NFC factories in Shenzhen — vertically integrated from inlay to printing to encoding""","/ ; /about/factory/ ; /sample-pack/ (""10 automated lines, 2 sites"")",manufacturing capability,none,"UNVERIFIED and **CONTRADICTED**: rfidak.com (same legal entity) states ""production runs on contracted partner lines""; ISO 9001/14001/45001 scope = *sales service* only; Made-in-China lists one factory address (Guanlan) and ""Manufacturer/Factory, Trading Company""",High (P0 — legal/factual),"REQUEST_FIRST_PARTY_EVIDENCE; if not supplied within the implementation window → REMOVE or QUALIFY (""production on partner lines to Proud Tek specification, QC in-house"")","Factory lease/title, business licence of the plant entity, equipment list, or third-party factory audit report (SGS/TÜV/BV) naming the plant"
K-03,"""10 Automated Production Lines"" / ""ten automated lines""",/ ; /about/factory/ ; /sample-pack/,manufacturing capability,"none (Made-in-China self-declared ""Above 10"")",UNVERIFIED (see K-02),High,REQUEST_FIRST_PARTY_EVIDENCE else REMOVE,Line list with photos/dates; audit report
K-04,"""305+ Advanced Production Machines"" / ""305+ pieces of process equipment""",/ ; /about/factory/,manufacturing capability,none,UNVERIFIED (see K-02); suspiciously precise,High,REQUEST_FIRST_PARTY_EVIDENCE else REMOVE (fake-precision risk),Fixed-asset register excerpt
K-05,"""8+ Certified Patents covering antenna design, inlay lamination and form-factor innovations""",/,patent,none,UNVERIFIED — no patent numbers anywhere on site,High,"REQUEST_FIRST_PARTY_EVIDENCE (CNIPA numbers, holder name) else REMOVE",CNIPA patent numbers; holder must match legal entity
K-06,"""12+ Strict Inspection Procedures … defect rates recorded and analyzed daily""",/,manufacturing capability,none,UNVERIFIED,Medium,QUALIFY (describe the actual QC steps) + REQUEST_FIRST_PARTY_EVIDENCE,QC procedure list / ISO 9001 documented procedures
K-07,"""We invest 10% of our annual profits into new product development""",/,company identity (financial),none,UNVERIFIED — unverifiable by buyers; contradicts nothing but is unprovable,High,REMOVE (or REQUEST audited-accounts basis),Audited accounts / board statement
K-08,"""500+ Enterprise Clients / 50+ Countries Served"" (trust strip on 446 pages; llms-full ""500+ enterprise clients, 50+ countries""); About: ""more than 50 countries""; YouTube: 400+; rfidak: 1,000+/5 continents; protekrfid: ""more than 500""",site-wide,company identity,none,UNVERIFIED and INCONSISTENT across owned properties,High,"QUALIFY to one defensible figure with basis (""customers invoiced since 2008 in N countries, per ERP export <date>"") or REMOVE",ERP/CRM export: distinct customers and ship-to countries
K-09,"""ISO 9001 Certified Factory"" (trust strip, 446 pages); llms.txt ""ISO 9001:2015 certified manufacturing (SGS audited)""; /machine mirrors ""Credentials: ISO 9001:2015, ISO 14001:2015, RoHS Compliant, CE Marking, REACH Compliant""",site-wide ; /llms.txt ; /machine/*,certification,repo `9001 certificate/奥科体系证书.pdf`,"**FIRST_PARTY_VERIFIED with correction**: certificates 98026Q00274R000 (ISO 9001), 98026E00200R000 (ISO 14001), 98026S00203R000 (ISO 45001) exist — issuer Anhui Certification and Inspection Co., Ltd (CAIC, www.zjcaic.com), **not SGS**; holder 深圳市奥科物联有限公司 / ""Shenzhen Proud Tek Co., Ltd"", USCC 91440300MA5FBLMP1Y; **scope: sales service of smart cards (PVC, wooden) and RFID tags**; first certified 2026-06-10; expiry 2029-06-09",High,"QUALIFY everywhere: ""ISO 9001:2015-certified sales and service operation (CAIC, cert. 98026Q00274R000)""; REMOVE ""Certified Factory"", ""certified manufacturing"", ""SGS audited""; align llms.txt and mirrors with /about/certifications/ (which is already accurate)",Done — certificate PDF in repo; validate at cnca.gov.cn
K-10,"/about/certifications/ statements: three ISO systems, numbers, scope ""sales service…"", issuer CAIC, dates; ""Manufacturing sites are certified separately — see the scope note""; ""request … a manufacturing-site certificate naming the plant address""",/about/certifications/,certification,certificate PDF,FIRST_PARTY_VERIFIED for the three certificates. The sentence implying a *manufacturing-site certificate exists* is UNVERIFIED,High,RETAIN certificate facts; QUALIFY or REMOVE the manufacturing-site certificate implication unless that document exists,Manufacturing-site ISO certificate (if any)
K-11,"""OEKO, REACH, and ROHS by TUV"" (homepage); ""Textile-based tags and wristbands are additionally covered by OEKO-TEX Standard 100"" (certifications page); OEKO-TEX logo on homepage",/ ; /about/certifications/,certification,none in repo,"UNVERIFIED — no OEKO-TEX certificate number/holder; TÜV test reports not in repo; RoHS/REACH are *declarations*, not certifications",High,"REQUEST_FIRST_PARTY_EVIDENCE (OEKO-TEX certificate no. + Label Check link; TÜV report numbers); otherwise REMOVE logo and rephrase RoHS/REACH as ""declarations of conformity available per SKU""","OEKO-TEX certificate (holder, product class, validity); TÜV/SGS test reports"
K-12,"""Compliance shipped with every order: … RoHS / REACH / FCC / CE / MIC declarations on file""; ""Radio approvals: FCC Part 15/18, CE EN 300 330 / 302 208, MIC (Japan), CCC (China)""; ""FCC IDs and CE technical files — maintained per SKU""",/about/ ; /about/certifications/,certification / legal,none,UNVERIFIED — FCC IDs are public (fcc.report); none cited. Passive tags generally do not carry FCC IDs (readers do); claim needs precision,High,"QUALIFY (which products, which approvals) + CITE the FCC ID / CE DoC for at least the reader SKUs; LEGAL_REVIEW",FCC grantee code / FCC IDs; CE Declarations of Conformity
K-13,"""ISO 9001 quality system … records retained seven years""; ""100% functional read test on every encoded unit""; ""AQL final inspection""; ""24/7 shift rotation""; ""bonded warehouse""",/about/ ; /about/factory/,manufacturing capability,none,UNVERIFIED (operational process claims),Medium,QUALIFY to what the certified scope supports; REQUEST evidence for bonded-warehouse status,Customs bonded-warehouse licence; QC procedure
