file,commit,before,after
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<desc id=""d"">Two paths compared. Path 1, through a trading company: the buyer pays a trading company that resells the order and owns no factory (marked with a red reseller-margin badge), which forwards the job to a factory the buyer never audits, so the buyer pays the factory price plus the desk's margin. Path 2, factory-direct from Proud Tek: the buyer deals straight with the Proud Tek factory — chip, antenna, print, encode and QC under one ISO 9001 system — and pays the factory-gate price. A footer notes the factory has run since 2008 across ten lines and two Shenzhen sites, ships to 50+ cou","<desc id=""d"">Two paths compared. Path 1, through a trading company: the buyer pays a trading company that resells the order and owns no factory (marked with a red reseller-margin badge), which forwards the job to a factory the buyer never audits, so the buyer pays the factory price plus the desk's margin. Path 2, factory-direct from Proud Tek: the buyer deals straight with Proud Tek — chip, antenna, print, encode and QC specified and controlled under one ISO 9001 system — and pays the factory-gate price. A footer notes Proud Tek has supplied RFID from Shenzhen since 2008 and holds ISO 9001, 14"
public/diagrams/lp/rfid-factory-direct-china-supply-chain.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<text x=""600"" y=""600"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">Since 2008 · 10 lines, 2 sites · ships to 50+ countries · ISO 9001 / 14001 / 45001</text>","<text x=""600"" y=""600"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">Since 2008 · Shenzhen · ISO 9001 / 14001 / 45001 certified (sales &amp; service scope)</text>"
public/diagrams/lp/rfid-manufacturer-shenzhen-floor-flow.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<title id=""t"">Inside the Proud Tek Shenzhen floor: six in-house line families from materials to export</title>","<title id=""t"">Inside the Proud Tek Shenzhen production flow: six stages from materials to export</title>"
public/diagrams/lp/rfid-manufacturer-shenzhen-floor-flow.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<desc id=""d"">A left-to-right process flow in six stages. Stage 1, materials in: chips, antennas and PVC and PET substrates sourced locally. Stage 2, inlay bonding: chip-to-antenna for HF 13.56 MHz and UHF 860-960 MHz inlays. Stage 3, laminate and print: PVC, ABS and PET stock, offset, screen and laser. Stage 4, encoding: UID, NDEF and GS1 SGTIN-96, with MIFARE Plus and DESFire keys. Stage 5, QC read-test: 100% functional read test plus AQL sampling. Stage 6, export packing: FOB, CIF or DDP by DHL, FedEx or sea to 50+ countries. A footer notes every value-added step is in-house across 2 Shenzhe","<desc id=""d"">A left-to-right process flow in six stages. Stage 1, materials in: chips, antennas and PVC and PET substrates sourced locally. Stage 2, inlay bonding: chip-to-antenna for HF 13.56 MHz and UHF 860-960 MHz inlays. Stage 3, laminate and print: PVC, ABS and PET stock, offset, screen and laser. Stage 4, encoding: UID, NDEF and GS1 SGTIN-96, with MIFARE Plus and DESFire keys. Stage 5, QC read-test: 100% functional read test plus AQL sampling. Stage 6, export packing: FOB, CIF or DDP by DHL, FedEx or sea worldwide. A footer notes every value-added step is specified, controlled and docume"
public/diagrams/lp/rfid-manufacturer-shenzhen-floor-flow.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<text x=""600"" y=""92"" text-anchor=""middle"" font-size=""29"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">Six line families, every step in-house</text>","<text x=""600"" y=""92"" text-anchor=""middle"" font-size=""29"" font-weight=""700"" fill=""#291c0e"" font-family=""Lora, Georgia, serif"">Six production stages, one accountable supplier</text>"
public/diagrams/lp/rfid-manufacturer-shenzhen-floor-flow.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<text x=""1065"" y=""420"" text-anchor=""middle"" font-size=""12.5"" font-weight=""700"" fill=""#2c5454"">To 50+ countries</text>","<text x=""1065"" y=""420"" text-anchor=""middle"" font-size=""12.5"" font-weight=""700"" fill=""#2c5454"">Worldwide export</text>"
public/diagrams/lp/rfid-manufacturer-shenzhen-floor-flow.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<text x=""600"" y=""576"" text-anchor=""middle"" font-size=""15"" font-weight=""700"" fill=""#291c0e"">Every value-added step in-house — no subcontracted production.</text>","<text x=""600"" y=""576"" text-anchor=""middle"" font-size=""15"" font-weight=""700"" fill=""#291c0e"">Every value-added step specified, controlled and documented by Proud Tek.</text>"
public/diagrams/lp/rfid-manufacturer-shenzhen-floor-flow.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<text x=""600"" y=""606"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">2 Shenzhen sites · 10 automated lines · records retained seven years</text>","<text x=""600"" y=""606"" text-anchor=""middle"" font-size=""14"" fill=""#5c5c5c"">Shenzhen · production records retained seven years</text>"
public/diagrams/lp/rfid-manufacturer-shenzhen-product-range.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<title id=""t"">Proud Tek Shenzhen product range: one factory resolved into six RFID product families and one shipment</title>","<title id=""t"">Proud Tek Shenzhen product range: one supplier resolved into six RFID product families and one shipment</title>"
public/diagrams/lp/rfid-manufacturer-shenzhen-product-range.svg,"65b0bf6 content(claims): remove the remaining factory / line / country figures from meta, video schema and LP diagrams","<desc id=""d"">A left-to-right map. On the left, a card labelled PROUD TEK SHENZHEN (2 factories, 10 lines). In the centre, six product-family lanes: RFID cards and fobs (MIFARE Classic, MIFARE Plus, DESFire, NTAG 215, T5577); NFC tags and stickers (NTAG 213, NTAG 216, NTAG 424 DNA, ICODE SLIX2); UHF inlays and labels (Impinj M730, NXP UCODE 9, Monza R6 at 860-960 MHz); event wristbands (MIFARE Ultralight, NTAG 213, UCODE 9); keyfobs and hard tags (EM4200, T5577, NTAG 216, MIFARE Classic); and RFID readers (desktop, handheld and fixed UHF encoders). All six converge on the right into ONE SHIPMEN","<desc id=""d"">A left-to-right map. On the left, a card labelled PROUD TEK SHENZHEN (since 2008). In the centre, six product-family lanes: RFID cards and fobs (MIFARE Classic, MIFARE Plus, DESFire, NTAG 215, T5577); NFC tags and stickers (NTAG 213, NTAG 216, NTAG 424 DNA, ICODE SLIX2); UHF inlays and labels (Impinj M730, NXP UCODE 9, Monza R6 at 860-960 MHz); event wristbands (MIFARE Ultralight, NTAG 213, UCODE 9); keyfobs and hard tags (EM4200, T5577, NTAG 216, MIFARE Classic); and RFID readers (desktop, handheld and fixed UHF encoders). All six converge on the right into ONE SHIPMENT: encoded "
