URL,Verdict,Evidence needed,Proposed role,Preferred query cluster,Internal-link plan,CTA,Priority,Visible words,Google coverage,Impr 16m,In-content inlinks
/,Rewrite (trust strip and capability claims per Phase 4),remove superlatives (8),Entity + routing hub,(inferred from H1: Custom RFID & NFC Manufacturer in China),"link to /about/certifications/, category pages, top solutions",read guide → compare → RFQ,P0,1446,Submitted and indexed,1248,1
/about/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: About Proud Tek),from footer + homepage trust strip,contact / audit request,P0,2596,Crawled - currently not indexed,169,5
/about/certifications/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Proud Tek Certifications),from footer + homepage trust strip,contact / audit request,P0,2289,Discovered - currently not indexed,0,16
/about/corrections/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Corrections Log),from footer + homepage trust strip,contact / audit request,P1,1170,Discovered - currently not indexed,0,7
/about/disclosures/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Disclosures & Affiliations),from footer + homepage trust strip,contact / audit request,P1,1449,Discovered - currently not indexed,0,8
/about/editorial-policy/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Editorial Policy),from footer + homepage trust strip,contact / audit request,P1,1338,Discovered - currently not indexed,0,6
/about/factory/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Inside the Proud Tek Factory),from footer + homepage trust strip,contact / audit request,P0,2043,Discovered - currently not indexed,0,16
/about/leadership/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Proud Tek Leadership and Engineering Team),from footer + homepage trust strip,contact / audit request,P1,1876,Discovered - currently not indexed,0,1
/about/methodology/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Testing Methodology),from footer + homepage trust strip,contact / audit request,P1,1508,Discovered - currently not indexed,0,7
/about/privacy-policy/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Privacy Policy),from footer + homepage trust strip,contact / audit request,P1,1331,Discovered - currently not indexed,0,1
/about/review-board/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Editorial & Review Board),from footer + homepage trust strip,contact / audit request,P1,1665,Discovered - currently not indexed,0,514
/about/terms-of-use/,"Rewrite where claims are UNVERIFIED (factory, capability, team)",first-party evidence (Phase 4),Trust/evidence page,(inferred from H1: Terms of Use),from footer + homepage trust strip,contact / audit request,P1,1457,Discovered - currently not indexed,0,1
/blog/,Keep; if a solution page owns the same job (e.g. rfid-key-fob-access-control) fold into it,test conditions for performance figures; remove superlatives (3),Informational,(inferred from H1: RFID & NFC Knowledge Base),hub ↔ spoke per Phase 7,read guide → compare → RFQ,P2,3384,Submitted and indexed,76,2
/blog/access-card-copied-security-upgrade/,Keep; if a solution page owns the same job (e.g. rfid-key-fob-access-control) fold into it,—,Informational,(inferred from H1: Access Card Copied? How to Upgrade Security),hub ↔ spoke per Phase 7,read guide → compare → RFQ,P2,2375,Discovered - currently not indexed,0,5
/blog/anti-counterfeit-nfc-luxury-bags/,Keep; if a solution page owns the same job (e.g. rfid-key-fob-access-control) fold into it,—,Informational,(inferred from H1: Anti-Counterfeit NFC for Luxury Bags),hub ↔ spoke per Phase 7,read guide → compare → RFQ,P2,2200,Discovered - currently not indexed,0,5
/blog/best-rfid-card-for-hotels/,Keep; if a solution page owns the same job (e.g. rfid-key-fob-access-control) fold into it,remove superlatives (3),Informational,(inferred from H1: What Is the Best RFID Card for Hotels?),hub ↔ spoke per Phase 7,read guide → compare → RFQ,P2,2926,Discovered - currently not indexed,0,7
/blog/case-study-3pl-rfid-99-percent-inventory-accuracy/,Evidence needed → relabel as worked example or remove,first-party evidence (Phase 4),Evidence page (currently unverified),(inferred from H1: Case Study),hub ↔ spoke per Phase 7,RFQ,P0,2421,Submitted and indexed,3,5
/blog/case-study-apparel-brand-walmart-rfid-mandate-99-read-rate/,Evidence needed → relabel as worked example or remove,first-party evidence (Phase 4),Evidence page (currently unverified),(inferred from H1: Case Study),hub ↔ spoke per Phase 7,RFQ,P0,2623,Discovered - currently not indexed,0,8
