Claim ID,Exact claim,URL (example),Pages carrying claim,Other example URLs,Claim type,All matched types,Where,Current source,Evidence status,Risk,Recommended treatment,Required owner evidence
C-0001,"5,000 pcs Application e.g. hotel, event, asset tracking Country Helps us quote shipping and compliance correctly Additional details Chip preference, timeline, special requirements...",/about/,511,/about/certifications/; /about/corrections/,MOQ,MOQ|legal/regulatory,body,editorial sources[] present on page,UNVERIFIED,High,QUALIFY as indicative + REQUEST_FIRST_PARTY_EVIDENCE (current price list / MOQ policy / lead-time records),Signed price list or quote log with date; MOQ policy; production lead-time records
C-0002,"Use the structured RFQ when you are ready for pricing and production guidance, request samples when validation comes first, or continue into the linked product and comparison pages below.",/about/,502,/about/certifications/; /about/corrections/,product specification,product specification,body,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),High,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0003,"Since 2008 RFID Manufacturing ISO 9001 Certified Factory 500+ Enterprise Clients 50+ Countries Served Proud Tek is a Shenzhen-based RFID & NFC manufacturer supplying hotel chains, transit operators, event venues and retail brands worldwide.",/about/corrections/,446,/about/disclosures/; /about/editorial-policy/,certification,certification|company identity|manufacturing capability,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0004,"Useful next pages Use these linked product, guide and comparison pages to keep the next click specific and practical.",/about/,434,/about/certifications/; /about/disclosures/,certification,certification|product specification,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0005,Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries At a glance Use these short answers to decide whether this page matches the project before moving into the detail.,/blog/access-card-copied-security-upgrade/,230,/blog/ai-rfid-inventory-management/; /blog/anti-counterfeit-nfc-luxury-bags/,certification,certification|company identity,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0006,Factory-direct from Proud Tek: 500-piece MOQ per chip type with written quotes and lead times held before tooling.,/products/rfid-cards/dual-frequency-rfid-card/,188,/products/rfid-cards/em4100-rfid-card/; /products/rfid-cards/fido2-card/,manufacturing capability,MOQ|lead time|manufacturing capability,jsonld,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0007,UCODE 8 vs UCODE 9 vs Monza R6 vs Higgs-9 — full UHF chip comparison Industry applications Industry deep-dives where this SKU is commonly specified.,/products/rfid-labels/rfid-airline-baggage-tag/,17,/products/rfid-labels/rfid-asset-label/; /products/rfid-labels/rfid-frozen-food-label/,product specification,product specification,body,editorial sources[] present on page,EXTERNAL_PRIMARY_SOURCE candidate (vendor datasheet; chip-claims lint covers 35 rules),Low,CITE_PRIMARY_SOURCE (datasheet section) where not already cited,—
C-0008,Typical pricing USD 0.60–2.50 /pc by size (typical FOB Shenzhen range) — firm quote in one business day.,/products/rfid-tags/rfid-aircraft-part-tag/,14,/products/rfid-tags/rfid-ammo-can-tag/; /products/rfid-tags/rfid-concrete-embed-tag/,company identity,company identity|lead time|price,body,editorial sources[] present on page,UNVERIFIED,High,REQUEST_FIRST_PARTY_EVIDENCE (remove or qualify if not supplied),Registration extract; factory lease/ownership; equipment list; patent numbers (CNIPA); headcount
C-0009,"Get a Quick Quote Since 2008 ISO 9001 500+ Clients 50+ Countries Used in these industries Deployments where this product is referenced on our industry landing pages. 🏭 Industrial & Manufacturing Ruggedized RFID tags for harsh environments — high temperature, on-metal, chemical-resistant and embedded applications.",/products/rfid-tags/rfid-aircraft-part-tag/,10,/products/rfid-tags/rfid-flag-tag/; /products/rfid-tags/rfid-gas-cylinder-tag/,certification,certification|company identity|customer result,body,editorial sources[] present on page,"UNVERIFIED (see ISO certificates found: sales-scope, CAIC, 2026-06-10)",High,QUALIFY / CITE_PRIMARY_SOURCE (certificate no. + scope + issuer),Certificate PDF for each claimed standard; issuer; scope; validity
C-0010,"We review compatibility, material and deployment constraints against the use case.",/contact/access-control-keyfobs/,9,/contact/custom-rfid-cards/; /contact/event-rfid/,customer result,compatibility|customer result,body,none on page,UNVERIFIED,High,LABEL_AS_EXAMPLE unless deployment records + permission exist,Customer permission; measurement records; baseline; sample size; period; hardware config
